file,root,isOpaqueHash,isDuplicate,brand,brandIsNew,categorySlug,groupKey,nameGuess
"images/accessories/Chrome-Hearts-Cross-Patch-Black-Leather-Tote-Bag-2-1-.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Cross-Patch-Black-Leather-Tote-Bag","Chrome Hearts Cross Patch Black Leather Tote Bag"
"images/accessories/Chrome-Hearts-Cross-Patch-Black-Leather-Tote-Bag-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Cross-Patch-Black-Leather-Tote-Bag","Chrome Hearts Cross Patch Black Leather Tote Bag"
"images/accessories/Chrome-Hearts-Cross-Patch-Black-Leather-Tote-Bag.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Cross-Patch-Black-Leather-Tote-Bag","Chrome Hearts Cross Patch Black Leather Tote Bag"
"images/accessories/Chrome-Hearts-Cross-Patch-Cap-BlueYellow-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Cross-Patch-Cap-BlueYellow","Chrome Hearts Cross Patch Cap BlueYellow"
"images/accessories/Chrome-Hearts-Cross-Patch-Cap-BlueYellow.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Cross-Patch-Cap-BlueYellow","Chrome Hearts Cross Patch Cap BlueYellow"
"images/accessories/Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black-1-.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black","Chrome Hearts Fleur De Lis Leather Medicine Bag Black"
"images/accessories/Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black-2-1-.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black","Chrome Hearts Fleur De Lis Leather Medicine Bag Black"
"images/accessories/Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black","Chrome Hearts Fleur De Lis Leather Medicine Bag Black"
"images/accessories/Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Fleur-De-Lis-Leather-Medicine-Bag-Black","Chrome Hearts Fleur De Lis Leather Medicine Bag Black"
"images/accessories/Chrome-Hearts-Galaxy-Cross-Patch-Wrist-Band.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Galaxy-Cross-Patch-Wrist-Band","Chrome Hearts Galaxy Cross Patch Wrist Band"
"images/accessories/Chrome-Hearts-July-4th-Trucker-Hat-RedBlueWhite-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-July-4th-Trucker-Hat-RedBlueWhite","Chrome Hearts July 4th Trucker Hat RedBlueWhite"
"images/accessories/Chrome-Hearts-July-4th-Trucker-Hat-RedBlueWhite.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-July-4th-Trucker-Hat-RedBlueWhite","Chrome Hearts July 4th Trucker Hat RedBlueWhite"
"images/accessories/Chrome-Hearts-King-Taco-Patch-Trucker-Hat-BlackWhite.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-King-Taco-Patch-Trucker-Hat-BlackWhite","Chrome Hearts King Taco Patch Trucker Hat BlackWhite"
"images/accessories/Chrome-Hearts-Porny-Matte-BlackSilver-Sunglasses-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Porny-Matte-BlackSilver-Sunglasses","Chrome Hearts Porny Matte BlackSilver Sunglasses"
"images/accessories/Chrome-Hearts-Porny-Matte-BlackSilver-Sunglasses.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Porny-Matte-BlackSilver-Sunglasses","Chrome Hearts Porny Matte BlackSilver Sunglasses"
"images/accessories/Chrome-Hearts-Silver-CH-NYC-Fuck-You-3MM-Ring-US-Size-7-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-CH-NYC-Fuck-You-3MM-Ring-US-Size","Chrome Hearts Silver CH NYC Fuck You 3MM Ring US Size"
"images/accessories/Chrome-Hearts-Silver-CH-NYC-Fuck-You-3MM-Ring-US-Size-7.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-CH-NYC-Fuck-You-3MM-Ring-US-Size","Chrome Hearts Silver CH NYC Fuck You 3MM Ring US Size"
"images/accessories/Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size-6-1-.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size","Chrome Hearts Silver Crown Triple Cross Ring US Size"
"images/accessories/Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size-6-2-1-.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size","Chrome Hearts Silver Crown Triple Cross Ring US Size"
"images/accessories/Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size-6-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size","Chrome Hearts Silver Crown Triple Cross Ring US Size"
"images/accessories/Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size-6.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Crown-Triple-Cross-Ring-US-Size","Chrome Hearts Silver Crown Triple Cross Ring US Size"
"images/accessories/Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag-1-.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag","Chrome Hearts Silver Dagger Electric Blue Chicken Nugget Calfskin Leather Bag"
"images/accessories/Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag-2-1-.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag","Chrome Hearts Silver Dagger Electric Blue Chicken Nugget Calfskin Leather Bag"
"images/accessories/Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag-2.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag","Chrome Hearts Silver Dagger Electric Blue Chicken Nugget Calfskin Leather Bag"
"images/accessories/Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag.jpg","images","false","false","Chrome Hearts","true","accessories","Chrome-Hearts-Silver-Dagger-Electric-Blue-Chicken-Nugget-Calfskin-Leather-Bag","Chrome Hearts Silver Dagger Electric Blue Chicken Nugget Calfskin Leather Bag"
